lugar,tipo_daño,entrecalles,colonia,calle,numero_exterior,atrapados,lesionados,desaparecidos,fallecidos,rescatados,link_google_maps,dirección_completa,lat,lon,entidad,tipo_reporte,necesidades,delegacion,descripcion,Fecha de creación,Última actualización
NA,NA,Luz Savignon y Cumbres de Acultzingo,,Casas Grandes,298,,,,,,"http://maps.google.com/maps?q=loc:19.3906447,-99.1471694","Casas Grandes 298 , Benito Juárez ,ciudad de mexico",19.3906447000,-99.1471694000,Ciudad de México,,,Benito Juárez,El gas está cerrado desde la tarde. Cayó la estructura De los tinacos. Algunas grietas y árbol levantó piso de la banqueta y cuarteó piso de la base del poste. Tel 45968902,,
Departamentos,Grietas,Luz saviñon y Cumbres de acultzingo,,José María Velasco,91,,,,,,"http://maps.google.com/maps?q=loc:19.3631954,-99.1838365","José María Velasco 91, San José Insurgentes, 03900 Ciudad de México, CDMX, Mexico",19.3631954000,-99.1838365000,NA,,,Benito JUAREZ,Grietas en la parte central por fuera en ambas torres (2) y varias por dentro se los departamentos,,
Departamentos,NA,Luz Saviñon y Cumbres de acultzingo,,Avenida Jacarandas,NA,,,,,,"http://maps.google.com/maps?q=loc:19.3468715,-99.0522715","Jacarandas, Ciudad de México, CDMX, Mexico",19.3468715000,-99.0522715000,NA,,,Azcapotzalco,Se cayeron plafones y paredes falsas,,
Departamentos,Grietas,Luz Saviñon y División del Norte,,Lerdo,284,,,,,,"http://maps.google.com/maps?q=loc:19.3078264,-99.239551","Lerdo 284, Barrio San Francisco, 10500 Ciudad de México, CDMX, Mexico",19.3078264000,-99.2395510000,CDMX Tlatelolco Edificio presidente Juarez,,,Cuauhtemoc,Grietas profundas en pared y techos de los departamentos del edificio,,
Departamentos,Grietas,Luz Saviñon y División del Norte,,londres,39,,,,,,"http://maps.google.com/maps?q=loc:19.4277517,-99.1595505","Londres 39, Juárez, 06600 Juárez, CDMX, Mexico",19.4277517000,-99.1595505000,ciudad de mexico,,,cuauhtemoc,grietas,,
Departamentos,Grietas,Luz saviñon y NA,,Industria,119,,,,,,"http://maps.google.com/maps?q=loc:19.4917577,-99.108834","Industria 119, Triunfo de la República, 07060 Ciudad de México, CDMX, Mexico",19.4917577000,-99.1088340000,NA,,,GAM,NA,,
Departamentos,Grietas,Luz Saviñon y Romero de Terreros,,Javier mina,70,,,,,,"http://maps.google.com/maps?q=loc:19.3409719,-99.0383325","Javier Mina 70, Santa Cruz Meyehualco, 09700 Ciudad de México, CDMX, Mexico",19.3409719000,-99.0383325000,Iztapalapa,,,Iztapalapa,Grietas enarea de ventanas y muros,,
NA,NA,Luz Saviñon y Romero de Terreros,,Anaxágoras,574,,,,,,"http://maps.google.com/maps?q=loc:19.3915502,-99.1571598","Anaxágoras 574 , Benito Juárez ,ciudad de mexico",19.3915502000,-99.1571598000,CDMX,,,Benito Juárez,Grietas en elementos estructurales,,
NA,NA,Luz Saviñon y Romero de Terreros,,Enrique Pestalozzi,526,,,,,,"http://maps.google.com/maps?q=loc:19.3934364,-99.1583849","Calle J. Enrique Pestalozzi 526, Narvarte Poniente, 03020 Ciudad de México, CDMX, Mexico",19.3934364000,-99.1583849000,Cuidad de mexico,,,Benito juarez,Grietas en las paredes,,
Departamentos,Grietas,Luz Saviñón y Torres Adalid,,Jordaens,11,,,,,,"http://maps.google.com/maps?q=loc:19.381571,-99.1815862","Jordaens 11, Cd de los Deportes, 03710 De los Deportes, CDMX, Mexico",19.3815710000,-99.1815862000,NA,,,Benito Juarez,Grietas,,
Comercio,Grietas,Madero y 42994,,Mutualismo,79,,,,,,"http://maps.google.com/maps?q=loc:19.4012278,-99.1727798","Mutualismo 79 , Miguel Hidalgo ,ciudad de mexico",19.4012278000,-99.1727798000,NA,,,Miguel Hidalgo,"Una columna presenta grietas, y gran parte del edificio también, partes del techo están caídas, urge protección civil en el inmueble.",,
Oficinas,Grietas,Madrid y Paseo de la reforma,,Naranjo / Rio Consulado 800,1301,,,,,,"http://maps.google.com/maps?q=loc:19.4647921,-99.155474","Naranjo / Rio Consulado 800 1301 , Azcapotzalco ,ciudad de mexico",19.4647921000,-99.1554740000,NA,,,Azcapotzalco,Grietas severas en las torres y departamentos de 3 lagos,,
Departamentos,Grietas,Maestro rural y Plan d ayala,,Tetela del Monte Fracc. Lomas de Ahuatlan,14,,,,,,,"Tetela del Monte Fracc. Lomas de Ahuatlan 14 , Tetela del Monte ,ciudad de mexico",,,Cuernavaca Morelos,,,Tetela del Monte,Grietas,,
Departamentos,Grietas,Maestro rural y Plan de ayala,,Texcoco,NA,,,,,,"http://maps.google.com/maps?q=loc:19.5345916,-99.0274305","Texcoco   , Ciudad Azteca ,ciudad de mexico",19.5345916,-99.0274305,Estado de México,,,Ciudad Azteca,Grietas en las paredes,,
Departamentos,Grietas,Magnocentro y NA,,Morelos,56,,,,,,"http://maps.google.com/maps?q=loc:19.3195486,-99.0917369","Morelos 56, Lomas Estrella 2da Secc, 09890 Ciudad de México, CDMX, Mexico",19.3195486000,-99.0917369000,CDMX,,,Iztapalapa,Grieta en la banqueta y una grieta en uno de los cuartos,,
Clínica La Prensa,NA,Magnolia y Pedro Moreno,,Guerrero,107,,,,,,"http://maps.google.com/maps?q=loc:19.4430704,-99.1477596","Calle Guerrero 107, Guerrero, 06300 Ciudad de México, CDMX, Mexico",19.4430704000,-99.1477596000,Ciudad de México,,,Cuauhtémoc,Grietas y derrumbes parciales al interior de la clínica. Inestabilidad del edificio.,,
Departamentos,Grietas,Malinalco y Pirules,,Camino carretero,46,,,,,,"http://maps.google.com/maps?q=loc:16.4499645,-95.0097587","Camino carretero 46 , Colonia martires ,ciudad de mexico",16.4499645000,-95.0097587000,"Juchitan, oaxaca",,,Colonia martires,Entrada y barda apunto de colapse,,
NA,NA,Mañanitas  y rrancho grande,,Cocula,NA,,,,,,"http://maps.google.com/maps?q=loc:19.4010561,-98.9926926","Cocula, Benito Juárez, 57000 Nezahualcóyotl, Méx., Mexico",19.4010561000,-98.9926926000,Nezahualcoyotl,,,Benito juarez,Perdida total,,
Casa,Grietas,Manuel cabeza de vaca y Angel carmaño,,Av montevideo,625,,,,,,"http://maps.google.com/maps?q=loc:19.4919644,-99.133666","Av. Montevideo 363, Lindavista Sur, 07300 Ciudad de México, CDMX, Mexico",19.4919644000,-99.1336660000,CDMX,,,GAM,Grietas en la fachada del edificio en cada uno de los pisos,,
NA,Derrumbe de barda,Manuel Cañas y Villa Asis,,Prol Morelos,35,,,,,,"http://maps.google.com/maps?q=loc:19.3389777,-99.0417344","Prol Morelos 35, Santa Cruz Meyehualco, 09700 Ciudad de México, CDMX, Mexico",19.3389777000,-99.0417344000,Mexico,,,Iztapalapa,Derrumbe de barda,,
Departamentos,Grietas,Manuel Carpio y Eligio Ancona,,Topacio,10,,,,,,"http://maps.google.com/maps?q=loc:19.3524414,-98.9650943","Topacio 10 , Ixtapaluca ,ciudad de mexico",19.3524414,-98.9650943,"Ixtapaluca, U.H. Rancho el Carmen",,,Ixtapaluca,Grietas en varios edificios de la unidad rancho el carmen,,
Departamentos,Grietas,Manuel González y Ricardo Flores Magón,,Trípoli,605,,,,,,"http://maps.google.com/maps?q=loc:19.3669656,-99.1540294","Trípoli 605 , Benito Juárez ,ciudad de mexico",19.3669656,-99.1540294,Distrito Federal,,,Benito Juárez,Grietas en escaleras de edificio que poco a poco se abren un poco más así como  daños en algunos departamentos,,
NA,NA,Manuel María Contreras,,Av Manuel Villalongin,117,,,,,,"http://maps.google.com/maps?q=loc:19.43356,-99.1647233","Calz. Manuel Villalongín 117, Cuauhtémoc, 06500 Ciudad de México, CDMX, Mexico",19.4335600000,-99.1647233000,Cdmx,,,Benito Juárez,En conjunto colonia del imss edificio principal. Yo trabajo en el quinto piso y se hicieron grietas muy grandes y como se describen en las imágenes,,
Oficinas,Grietas,Manuel maria contreras y Velazquez de leon,,Orizaba,NA,,,,,,"http://maps.google.com/maps?q=loc:19.4178626,-99.1595895","Orizaba   , Cuauhtemoc ,ciudad de mexico",19.4178626000,-99.1595895000,NA,,,Cuauhtemoc,Se cayo la cúpula del colegio renacimiento,,
Departamentos,Grietas,Manuel marquez sterling y Arcos de belem,,Las rosas,45,,,,,,,"Las rosas 45 , Colonia las verdes del pedregal ,ciudad de mexico",,,Chignautla puebla,,,Colonia las verdes del pedregal,Grietas en paredes y losa,,
Departamentos,Grietas,Manuel Othon y NA,,Calle 1 de Francisco mena,5530454398,,,,,,"http://maps.google.com/maps?q=loc:19.3596713,-99.0531119","Calle 1 de Francisco mena 5530454398 , Iztapalapa ,ciudad de mexico",19.3596713000,-99.0531119000,Ciudad de mexico,,,Iztapalapa,Poste de cableado a punto de caer,,
Departamentos,Grietas,Manuel Salazar y Víctor Hernández,,Plomo,134,,,,,,"http://maps.google.com/maps?q=loc:19.4563173,-99.1211161","Plomo 134, Valle Gómez, 15210 Ciudad de México, CDMX, Mexico",19.4563173,-99.1211161,Ciudad de México,,,Venustiano  Carranza,"Grietas en varios depaetamentos, tinacos y caida parcial de una barda de una jardinera",,
Casa,Grietas,Manuel toussaint y Profra. Aurora reza,,Andador 16 de Fernando Amilpa,20,,,,,,"http://maps.google.com/maps?q=loc:19.5082152,-99.0964002","Calle 16 Fernando Amilpa, El Risco CTM, 07090 Ciudad de México, CDMX, Mexico",19.5082152000,-99.0964002000,NA,,,Gam,Dos postes de concreto de luz que se cayeron,,
Oficinas,Grietas,Manuel Villalongin y Rio Nazas,,Margarita maza de juarez,180,,,,,,"http://maps.google.com/maps?q=loc:19.5073743,-99.1526609","Margarita maza de juarez 180 , Gustavo a madero ,ciudad de mexico",19.5073743000,-99.1526609000,Cdmx,,,Gustavo a madero,Dentro de la unidad 180 en el edif A hay una grieta en el edificio del lado del tubo de gas asi como en otros edificios,,
NA,Una parte del techo en una recamara se ve pandeado,Manuel y Maria,,Av Rivapalcio,49,,,,,,"http://maps.google.com/maps?q=loc:19.4101789,-99.043402","Av Riva Palacio 49, Central, 57500 Nezahualcóyotl, Méx., Mexico",19.4101789000,-99.0434020000,Edo. Mexico,,,Nezahualcoyotl,La fachada parece dañada y en un recamara el techo se ve un poco colgado o pandeado,,
NA,NA,Manzanillo e Insurgentes Sur,,Coahuila,223,,,,,,"http://maps.google.com/maps?q=loc:19.4107249,-99.1666779","Coahuila 223 , Cuauhtémoc ,ciudad de mexico",19.4107249000,-99.1666779000,CDMX,,,Cuauhtémoc,Al momento del temblor  el edificio vecino chocó contra el nuestro. Hay grietas en escaleras y paredes de gran consideración.,,
9 pisos oficinas  comercios y mixtos,El edificio se encuentra inclinado tras el sismo  derrumbes parciales en el interior y grietas estructurales,Manzanillo y Chiapas,,Insurgentes Sur,348,,,,,,"http://maps.google.com/maps?q=loc:19.4117878,-99.1663948","Av. Insurgentes Sur 348, Roma Nte., 06700 Ciudad de México, CDMX, Mexico",19.4117878000,-99.1663948000,Ciudad de México,,,Cuauhtémoc,Edificio de los años 50  previamente parcialmente dañado en 1985  el edificio presenta derrumbes parciales en el interior  grietas amplias estructurales horizontales  verticales e inclinadas  en el exterior se puede apreciar que el edificio se encuentra inclinado hacia la calle de Manzanillo.,,
NA,NA,MANZANILLO Y TLACOTALPAN,,AVENIDA BAJA CALIFORNIA,196,,,,,,"http://maps.google.com/maps?q=loc:19.4058029,-99.1660758","Av. Baja California 196, Roma Sur, 06760 Ciudad de México, CDMX, Mexico",19.4058029000,-99.1660758000,AVENIDA BAJA CALIFORNIA 196,,,CUAUHTEMOC,DAÑO Y DERRUMBE DE MUROS EXTERNOS DEL LADO DERECHO DEL EDIFICIO A NIVEL DE TERCER PISO  GRIETA VISIBLE CON PERFORACION EN EL SEGUNDO PISO  Y GRIETA CON PERFORACION VISIBLE EN LA PLANTA BAJA TODAS ELLAS PUEDEN SER VISIBLES DESDE EL INTERIOR DE LA CASA CONTIGUA NO. 198 DONDE SE PERMITIO REALIZAR LA VERIFICACION CUALITATIVA  AL INTERIOR NO SE SABE YA QUE EL EDIFICIO SU EVACUADO. SE PIDE LA VERIFICACION DE PROTECCION CIVIL PARA EVALUAR DAÑOS ESTRUCTURALES AL INTERIOR Y EXTERIOR DERECHO DEL EDIFICIO DEBIDO A ESTE DERRUMBE DE PARED Y GRIETAS CON PERFORACION EN 2 PISO Y PLANTA BAJA. GRACIAS ATN. MIGUEL ANGEL LEY,,
Departamentos,Grietas,Maq y Pacífico y NA,,Cedro,254,,,,,,"http://maps.google.com/maps?q=loc:19.4519929,-99.1618003","Calle Cedro 254, Sta María la Ribera, 06400 Ciudad de México, CDMX, Mexico",19.4519929000,-99.1618003000,NA,,,Cuauhtemoc,Fachada cuarteada,,
Casa,Grietas,Mar de los vapores y Mar de la fecundidad,,Sonora,91,,,,,,"http://maps.google.com/maps?q=loc:19.4176131,-99.1714919","Av Sonora 91, Roma Nte., 06700 Ciudad de México, CDMX, Mexico",19.4176131000,-99.1714919000,CDMX,,,Cuauhtémoc,"El edificio presenta grietas en paredes y estructura de escaleras, se percibió fuerte olor a gas pero se cerró el paso del mismo y de igual manera fuga de agua. El edificio de al lado es un hospital que quedó desalojado y acordonado.",,
Departamentos,Grietas,Mar Negro y Golfo de Gabes,,xola,1459,,,,,,"http://maps.google.com/maps?q=loc:19.3954625,-99.1527935","xola 1459 , Benito Juárez ,ciudad de mexico",19.3954625,-99.1527935,cdmx,,,Benito Juárez,"algunas fisuras en los departamentos de la esquina,  queremos saber conforme se pueda solicitar una revisión de protección civil. gracias",,
Oficinas,Grietas,Margaritas y Av universidad y NA,,Pamplona,15,,,,,,"http://maps.google.com/maps?q=loc:19.554018,-99.2093347","Calle Pamplona 15, Residencial El Dorado, 54020 Tlalnepantla, Méx., Mexico",19.5540180000,-99.2093347000,Estado de México,,,Tlalnepantla de Baz,"Se encontraron grietas en menor tamaño en paredes, techos y pisos.",,
Casa,Grietas,Mariano Abasolo y 42860,,Nuevo Leon,186,,,,,,"http://maps.google.com/maps?q=loc:19.4066799,-99.1713926","Av Nuevo León 186, Hipódromo, 06100 Ciudad de México, CDMX, Mexico",19.4066799000,-99.1713926000,"Condesa, CDMX",,,CUAUHTEMOC,Grietas en muros,,
Departamentos,Grietas,Mariano Arista y Lerdo de tejada,,Calzada mexico tacuba,271,,,,,,"http://maps.google.com/maps?q=loc:19.4508267,-99.1727237","Calz México-Tacuba 271, Un Hogar Para Nosotros, 11330 Ciudad de México, CDMX, Mexico",19.4508267000,-99.1727237000,NA,,,Miguel hidalgo,Muchas cuarteaduras y partes dumbadas y un boquete y recargado un poco otro edificio contiguo,,
NA,NA,Mariano Escobedo y lago Alberto,,Laguna de Mayran,166,,,,,,"http://maps.google.com/maps?q=loc:19.4423003,-99.1859615","Laguna de Mayrán 166, Granada, 11320 Ciudad de México, CDMX, Mexico",19.4423003000,-99.1859615000,Ciudad de México,,,Miguel Hidalgo,Muchas de las paredes del edifico están cuarteadas por dentro y por fuera,,
,daño mayor,Marina Nacional e Izcoatl,Colonia Tlaxpana,Circuito Interior Melchor Ocampo,171,,,,,,"https://www.google.com/maps/place/19%C2%B026'13.0%22N+99%C2%B010'11.7%22W/@19.43694,-99.1709383,18z/data=!3m1!4b1!4m6!3m5!1s0x0:0x0!7e2!8m2!3d19.4369401!4d-99.169928!5m1!1e1",,19.4369400000,-99.1699280000,Ciudad de México,,,,,,
Casa,Derrumbe parcial,Marina Nacional y Bahia de Santa Barbara y Bahia Chachalacas y Bahia de Palmas,,Toltecas,183,,,,,,"http://maps.google.com/maps?q=loc:19.3871109,-99.1922417","Toltecas 183, San Pedro de los Pinos, 01180 Ciudad de México, CDMX, Mexico",19.3871109,-99.1922417,NA,,,Alvaro Obregon,Grietas en paredes de edificio,,
Departamentos,Grietas,Marsella y Liverpool,,Insurgentes Sur,1768,,,,,,"http://maps.google.com/maps?q=loc:19.3581311,-99.1837581","Insurgentes Sur 1768 , Alvaro Obregon ,ciudad de mexico",19.3581311000,-99.1837581000,Ciudad de Mexico,,,Alvaro Obregon,Grieta en muro,,
NA,NA,MARTIN MENDALDE Y AV. COYOACAN,,FELIX CUEVAS,609,,,,,,"http://maps.google.com/maps?q=loc:19.3717701,-99.1699255","Félix Cuevas 609, Col del Valle Centro, 03100 Ciudad de México, CDMX, Mexico",19.3717701000,-99.1699255000,CDMX,,,BENITO JUAREZ,Se han detectado coarteaduras en varios departamentos quisiéramos que se verificara que no hay daños estructurales en el edificio,,
Departamentos,Grietas,Matamoros y Hidalgo,,Payatl,2,,,,,,"http://maps.google.com/maps?q=loc:19.4230343,-98.9778969","Payatl 2, Talabarteros, 56356 Chimalhuacán, Méx., Mexico",19.4230343,-98.9778969,Chimalhuacan,,,Talabarteros,Grietas visibles sólo algunas profundas,,
NA,Caida de mosaico  ventanales,Matanzas y Av. IPN,,Managua,697,,,,,,"http://maps.google.com/maps?q=loc:19.4914727,-99.1325603","Managua 697, Lindavista, 07300 Ciudad de México, CDMX, Mexico",19.4914727000,-99.1325603000,Ciudad de México,,,Gustavo A. Madero,El edificio tiene de por sí un desnivel  con el terremoto hay fuga de agua en el tinaco  caída de loza y ventanas.,,
Departamentos,Grietas,Matias Romero y Angel Urraza,,FFCC México Veracruz,316,,,,,,"http://maps.google.com/maps?q=loc:19.5159146,-99.0722987","FFCC México-Veracruz 316, El Salado Xalostoc, 55360 Ecatepec de Morelos, Méx., Mexico",19.5159146000,-99.0722987000,Ciudad de México,,,Gustavo a Madero,Gritas en las paredes y separación de las mismas,,
NA,NA,Matías Romero y Angel Urraza,,Gabriel Mancera,1045,,,,,,"http://maps.google.com/maps?q=loc:19.3810116,-99.1656186","Calle Gabriel Mancera 1045, Col del Valle Centro, 03100 Ciudad de México, CDMX, Mexico",19.3810116000,-99.1656186000,Ciudad de México,,,Benito Juárez,Grietas en paredes y muros en todos los departamentos y en el edificio en general. Se cayó la loza de los baños y cocina. Se rompieron vidrios.,,
NA,NA,Matías Romero y Cuicuilco,,Chupicuaro,21,,,,,,"http://maps.google.com/maps?q=loc:19.3770643,-99.1499595","Chupicuaro 21, Letran Valle, 03650 Ciudad de México, CDMX, Mexico",19.3770643000,-99.1499595000,Ciudad de México,,,Benito Juárez,En el estacionamiento y patio común  se observan largas grietas y hundimiento alrededor de la coladera,,
poste de luz,poste de luz ladeado y agrietado,matias romero y division del norte col del valle,,pitagoras,frente a 1164 lado izquierdo,,,,,,,"pitagoras 116 , benito juarez ,ciudad de mexico",NA,NA,cdmx,,,benito juarez,poste de luz ladeado y agrietado frente al num 1164,,
NA,NA,Matías Romero y eje 6,,Avenida Coyoacán,921,,,,,,"http://maps.google.com/maps?q=loc:19.3824994,-99.1684779","Av. Coyoacán 921, Col del Valle Centro, 03100 Ciudad de México, CDMX, Mexico",19.3824994000,-99.1684779000,Ciudad de México,,,Benito juarez,NA,,
Departamentos,Grietas,Matias romero y Pilares,,Escocia,NA,,,,,,"http://maps.google.com/maps?q=loc:19.3481318,-99.1465726","Escocia, Parque San Andrés, Ciudad de México, CDMX, Mexico",19.3481318000,-99.1465726000,Ciudad de Mexico,,,Coyoacan,Colapsó de parte del edifico y una casa.,,
NA,NA,Mazatlan y Cuernavaca,,Antonio Sola,72,,,,,,"http://maps.google.com/maps?q=loc:19.4157601,-99.175523","Antonio Sola 72, Condesa, 06140 Ciudad de México, CDMX, Mexico",19.4157601000,-99.1755230000,Ciudad de México,,,Cuauhtémoc,Grietas grandes vistas desde fachada  separación de muros,,
NA,NA,mazatlan y cuernavaca,,juan de la barrera,56,,,,,,"http://maps.google.com/maps?q=loc:19.4161333,-99.1747264","juan de la barrera 56 , cuauhtemoc ,ciudad de mexico",19.4161333000,-99.1747264000,condesa,,,cuauhtemoc,NA,,
Casa,Grietas,Mazatlan y Kino,,Cruz verde,37,,,,,,"http://maps.google.com/maps?q=loc:19.3386278,-99.1576395","Cruz Verde 37, Los Reyes, 04330 Ciudad de México, CDMX, Mexico",19.3386278000,-99.1576395000,NA,,,Coyoacán,"Grietas en muros, hundimiento en piso, techo de lámina.Solo queremos revisión de posible riesgo",,
NA,NA,Mazatlan y Pachuca,,Agustin Melgar,6,,,,,,"http://maps.google.com/maps?q=loc:19.4179431,-99.1753262","Agustín Melgar 6, Condesa, 06140 Ciudad de México, CDMX, Mexico",19.4179431000,-99.1753262000,Ciudad de Mexico,,,Cuauhtemoc,Grietas en diagonal en muros  vitromuros quebrados y grietas en escaleras,,
NA,NA,Medellin y Monterrey,,Viaducto presidente Miguel alemán,111,,,,,,"http://maps.google.com/maps?q=loc:19.4028597,-99.1617448","Viad. Pdte. Miguel Aleman 111, Álamos, 06760 Ciudad de México, CDMX, Mexico",19.4028597000,-99.1617448000,Mexico,,,Benito juarez,Fuga de gas en tanque estacionario,,
Departamentos,Grietas,Medellín y Valladolid,,Callejón de Torresco,7,,,,,,"http://maps.google.com/maps?q=loc:19.3506116,-99.1710361","Callejón de Torresco 7 , Coyoacan ,ciudad de mexico",19.3506116000,-99.1710361000,CD.MX.,,,Coyoacan,"Centro d Atención Múltiple 92 q comparte terreno con la escuela primaria oficial Republica de Guatemala, salones afectados con grietas, tabiques movidos, separación de columnas de las paredes, comedor con grietas importantes q dan al otro lado del edificio, x favor, urge revisen la escuela",,
NA,NA,Medicina y Cerro del Agua,,Filosofía y Letras,21,,,,,,"http://maps.google.com/maps?q=loc:19.3340837,-99.1772014","Filosofía y Letras 21, Copilco Universidad, 04360 Ciudad de México, CDMX, Mexico",19.3340837000,-99.1772014000,Ciudad de México,,,Coyoacan,Fractura de muros en forma de escalera  estructura dañada en columnas y trabes en los dos edificios de departamentos habitacionales. Urge revisión.,,
Departamentos,Grietas,Medicina y Cerró del Agua,,Belisario dominguez 74,16,,,,,,"http://maps.google.com/maps?q=loc:19.43788,-99.1348194","Belisario Domínguez 74, Centro Histórico, Centro, 06000 Centro, CDMX, Mexico",19.4378800000,-99.1348194000,NA,,,Cuahutemoc,Grieta profunda,,
NA,NA,Medicina y Filosofía y Letras,,Filosofía y Letras,21,,,,,,"http://maps.google.com/maps?q=loc:19.3340837,-99.1772014","Filosofía y Letras 21, Copilco Universidad, 04360 Ciudad de México, CDMX, Mexico",19.3340837000,-99.1772014000,Ciudad de México,,,Coyoacán,Grietas en todo el edificio,,
NA,NA,Mejía Delgado y Lomas del Ángel,,Avenida Centenario,460  C-2,,,,,,"http://maps.google.com/maps?q=loc:19.3664358,-99.2104187","Avenida Centenario 460  C-2 , Álvaro Obregón ,ciudad de mexico",19.3664358000,-99.2104187000,Ciudad de México,,,Álvaro Obregón,Grietas en diferentes paredes y muro decarga de departamento en planta baja.,,
Departamentos,Grietas,Melchor Ocampo y Gutenberg,,Monte Albán,3710,,,,,,"http://maps.google.com/maps?q=loc:19.4027898,-99.1497915","Monte Albán 3710 , Benito Juarez ,ciudad de mexico",19.4027898000,-99.1497915000,NA,,,Benito Juarez,Grietas en una pared de recámara que está junto a un edificio y se cayeron algunas piedras del edificio,,
Casa,Grietas,Membrillo y Chabacano,,Avenida Revolución,587,,,,,,"http://maps.google.com/maps?q=loc:19.3914824,-99.186065","Av. Revolución 587, 8 de Agosto, Ciudad de México, CDMX, Mexico",19.3914824000,-99.1860650000,Ciudad de Mexico,,,Benito Juarez,Edificio ladeado con riesgo de caerse,,
NA,NA,Mérida y cordoba,,Coahuila,30,,,,,,"http://maps.google.com/maps?q=loc:19.4124359,-99.1564009","Coahuila 30 , Cuauhtémoc ,ciudad de mexico",19.4124359000,-99.1564009000,Ciudad de México,,,Cuauhtémoc,Grietas en el edificio,,
NA,Daño en una columna y varias grietas,Mérida y Córdoba,,Guanajuato,63,,,,,,"http://maps.google.com/maps?q=loc:19.4173993,-99.1573665","Guanajuato 63, Roma Nte., 06700 Ciudad de México, CDMX, Mexico",19.4173993000,-99.1573665000,CD.MX.,,,Cuauhtemoc,Uno de los departamentos tiene un daño en una columna y otros dos presentan grietas. Al parecer el edificio que está a nuestro lado se recargó y dañó. ¿Nos pueden ayudar? Colonia Roma Norte,,
Otro,Grietas,Merida y Frontera,,Calle glorieta de camarones mz 562,11,,,,,,,"Calle glorieta de camarones mz 562 11 , Ecatepec ,ciudad de mexico",,,NA,,,Ecatepec,Grietas son varias,,
Departamentos,Grietas,Mérida y Frontera,,francisco Prado,14,,,,,,"http://maps.google.com/maps?q=loc:19.3358117,-99.055561","francisco Prado 14 , Iztapalapa ,ciudad de mexico",19.3358117000,-99.0555610000,ciudad de México,,,Iztapalapa,Daños en dos bardas. Grietas,,
NA,NA,Mérida y Frontera,,Chihuahua,47,,,,,,"http://maps.google.com/maps?q=loc:28.3993386,-106.8598553","Chihuahua 47 , Cuauhtémoc ,ciudad de mexico",28.3993386000,-106.8598553000,Ciudad de México  delegación Cuauhtémoc.,,,Cuauhtémoc,Los muros donde se encuentran los clóset de los departamentos se agrietaron considerablemente. En algunos casos el muro quedó perforado. Esto sucedió en múltiples departamentos.,,
NA,Se ve como fractura,Mérida y frontera,,Zacatecas,24,,,,,,"http://maps.google.com/maps?q=loc:19.4164692,-99.1556249","Calle Zacatecas 24, Roma Nte., 06700 Ciudad de México, CDMX, Mexico",19.4164692000,-99.1556249000,Cd mx,,,Cuauhtemoc,Se ve fracturado él edificio. Tenemos miedo que no soporte otro movimiento. Es de 7 pisos construido en los 70 s,,
Departamentos,Grietas,Merida y Matilde Márquez,,Privada 76 poniente,1305,,,,,,"http://maps.google.com/maps?q=loc:19.077272,-98.1902839","Privada 76 poniente 1305 , Puebla ,ciudad de mexico",19.0772720000,-98.1902839000,NA,,,Puebla,Fisura de muro,,
Otro,Grietas,Mexicas y NA,,Paso granite,926,,,,,,"http://maps.google.com/maps?q=loc:19.3842621,-99.2253908","Paso Granite, La Palmita, Ciudad de México, CDMX, Mexico",19.3842621,-99.2253908,Ciudad de México,,,Álvaro Obregón,Grietas importantes. Mz 9 lt 26,,
Casa,Grietas,México Tacuba y Mar Negro,,Zempoala,303,,,,,,"http://maps.google.com/maps?q=loc:19.3904025,-99.1487949","Zempoala 303 , Benito Juárez ,ciudad de mexico",19.3904025,-99.1487949,Narvarte,,,Benito Juárez,NA,,
Casa,Grietas,Mexico y Veracruz,,Av el altillo depto 69 entrada d,69,,,,,,"http://maps.google.com/maps?q=loc:19.2930176,-99.1288169","Altillo 69, Narciso Mendoza Super Manzana 5 Villa Coapa, 14390 Ciudad de México, CDMX, Mexico",19.2930176000,-99.1288169000,NA,,,Tlalpan,Daño en las escaleras grietas,,
NA,NA,Meyerbeer  Clave  Abundio Martinez y  Ernesto Elorduy. Colonia Vallejo,,Johann Strauss,45,,,,,,"http://maps.google.com/maps?q=loc:19.4674276,-99.1376811","Strauss 45, Vallejo, 07870 Ciudad de México, CDMX, Mexico",19.4674276000,-99.1376811000,Ciudad de México,,,Gustavo A Madero,NA,,
NA,NA,Micaela Galindo y carretera 5 de febrero,,Mina,#18 A,,,,,,"http://maps.google.com/maps?q=loc:17.8043227,-97.7814744","Mina, Lebanon",17.8043227000,-97.7814744000,Huajuapan de León  Oaxaca,,,Huajuapan de León  Oaxaca,Cuartiadoras en toda la casa y la barda se deladio y se va a caer el techo. Casa inhabitable.,,
NA,NA,Michoacan y laredo,,Amsterdam,119,,,,,,"http://maps.google.com/maps?q=loc:19.4123658,-99.1711868","Amsterdam 119 , Cuauhtemoc ,ciudad de mexico",19.4123658000,-99.1711868000,Cdmx,,,Cuauhtemoc,Aplanados en todas sus areas aparentemente,,
residencial,daño mayor,Mier y Pesado y Amores,Colonia del Valle,La Morena,322,0,0,0,0,0,"https://www.google.co.uk/maps/@19.3992589,-99.1633913,21z?hl=en",,19.3992940000,-99.1633750000,CDMX,,,,,,
